GEOID,year,name,parent-location,population,poverty_rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
13001,2000,Appling County,Georgia,17419,18.62,20.92,351,30266,63700,23.7,74.94,19.51,4.55,0.16,0.29,0.01,0.53,0.02,1382,68,2,0.14,4.92,0,0,0
13003,2000,Atkinson County,Georgia,7609,23.02,25.58,288,26470,46700,19.5,62.56,19.41,16.95,0.3,0.12,0,0.62,0.04,695,12,0,0,1.73,0,0,0
13005,2000,Bacon County,Georgia,10103,23.66,25.07,316,26910,56500,26.4,79.86,15.46,3.39,0.14,0.28,0,0.81,0.07,961,,,,,0,0,0
13007,2000,Baker County,Georgia,4074,23.36,22.26,311,30338,62700,17.4,46.37,50.02,2.72,0.22,0,0.02,0.59,0.05,337,0,0,0,0,0,0,0
13009,2000,Baldwin County,Georgia,44700,16.77,33.53,478,35159,79800,22.9,53.51,43.23,1.36,0.18,0.99,0.01,0.64,0.08,4949,,,,,0,0,0
13011,2000,Banks County,Georgia,14422,12.55,19.07,424,38523,92400,21.2,91.92,3.18,3.42,0.26,0.6,0.06,0.54,0.02,1023,,,,,0,0,0
13013,2000,Barrow County,Georgia,46144,8.29,24.49,583,45019,103400,23.3,83.53,9.66,3.16,0.26,2.17,0.03,1.14,0.06,4005,960,207,5.17,23.97,0,0,0
13015,2000,Bartow County,Georgia,76019,8.58,24.73,575,43660,99600,23.4,86.35,8.63,3.32,0.25,0.5,0.03,0.84,0.08,6720,1176,426,6.34,17.5,0,0,0
13017,2000,Ben Hill County,Georgia,17484,22.29,33.33,371,27100,60700,27,61.87,32.45,4.58,0.18,0.28,0,0.62,0.03,2224,361,25,1.12,16.23,0,0,0
13019,2000,Berrien County,Georgia,16235,17.7,24.61,369,30044,70700,25,84.76,11.35,2.37,0.26,0.29,0.08,0.81,0.09,1541,,,,,0,0,0
13021,2000,Bibb County,Georgia,153887,19.12,41.18,474,34532,84400,25.7,49.56,47.11,1.31,0.17,1.06,0.02,0.71,0.06,24568,3595,1049,4.27,14.63,0,0,0
13023,2000,Bleckley County,Georgia,11666,15.88,23.9,373,33448,66500,22.7,72.9,24.56,0.92,0.09,0.87,0.03,0.57,0.06,1045,34,5,0.48,3.25,0,0,0
